Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2001-09-24,2.0,0.0,0,-0.0,1.0
2001-09-25,2.5,0.5,-1,-0.006254623084053668,0.9937453769159463
2001-09-26,2.0,0.0,-1,0.0042709990788041274,0.9979896625053202
2001-09-27,2.5,0.5,-1,0.0014110830763480742,0.9993979088284518
2001-09-28,2.5,0.5,-1,0.005390280650202639,1.0047849440382628
2001-10-01,2.5,0.5,0,0.0,1.0047849440382628
2001-10-02,1.5,-0.5,-1,0.001654664084387858,1.0064475255976966
2001-10-03,2.0,0.0,0,0.0,1.0064475255976966
2001-10-04,1.5,-0.5,-1,0.006290784470212474,1.0127788700618103
2001-10-05,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-08,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-09,2.0,0.0,0,0.0,1.0127788700618103
2001-10-10,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-11,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-12,2.5,0.5,0,0.0,1.0127788700618103
2001-10-15,2.5,0.5,0,0.0,1.0127788700618103
2001-10-16,2.5,0.5,0,0.0,1.0127788700618103
2001-10-17,2.0,0.0,0,0.0,1.0127788700618103
2001-10-18,2.5,0.5,0,0.0,1.0127788700618103
2001-10-19,2.0,0.0,0,0.0,1.0127788700618103
2001-10-22,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-23,2.5,0.5,0,-0.0,1.0127788700618103
2001-10-24,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-25,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-26,2.0,0.0,0,-0.0,1.0127788700618103
2001-10-29,1.5,-0.5,0,0.0,1.0127788700618103
2001-10-30,2.0,0.0,0,0.0,1.0127788700618103
2001-10-31,2.5,0.5,0,-0.0,1.0127788700618103
2001-11-01,2.5,0.5,0,0.0,1.0127788700618103
2001-11-02,2.5,0.5,0,-0.0,1.0127788700618103
2001-11-05,2.5,0.5,0,0.0,1.0127788700618103
2001-11-06,2.5,0.5,0,-0.0,1.0127788700618103
2001-11-07,2.5,0.5,0,0.0,1.0127788700618103
2001-11-08,2.5,0.5,0,-0.0,1.0127788700618103
2001-11-09,2.5,0.5,0,0.0,1.0127788700618103
2001-11-12,2.0,0.0,0,0.0,1.0127788700618103
2001-11-13,2.0,0.0,0,-0.0,1.0127788700618103
2001-11-14,2.0,0.0,0,-0.0,1.0127788700618103
2001-11-15,2.5,0.5,0,0.0,1.0127788700618103
2001-11-16,2.5,0.5,0,0.0,1.0127788700618103
2001-11-19,2.0,0.0,0,0.0,1.0127788700618103
2001-11-20,1.5,-0.5,0,0.0,1.0127788700618103
2001-11-21,2.0,0.0,0,-0.0,1.0127788700618103
2001-11-22,1.5,-0.5,0,-0.0,1.0127788700618103
2001-11-23,2.0,0.0,0,-0.0,1.0127788700618103
2001-11-26,2.0,0.0,0,-0.0,1.0127788700618103
2001-11-27,1.5,-0.5,0,0.0,1.0127788700618103
